E,RH,LocalDateTime
1.4,0.88,11/16/1988 00:00:00
2,0.85,11/17/1988 00:00:00
2.8,0.83,11/18/1988 00:00:00
3.7,0.83,11/19/1988 00:00:00
3.3,0.9,11/20/1988 00:00:00
2.3,0.88,11/21/1988 00:00:00
1.8,0.85,11/22/1988 00:00:00
2.3,0.85,11/23/1988 00:00:00
2,0.84,11/24/1988 00:00:00
2.3,0.77,11/25/1988 00:00:00
2.1,0.78,11/26/1988 00:00:00
2.1,0.82,11/27/1988 00:00:00
2.8,0.84,11/28/1988 00:00:00
4,0.82,11/29/1988 00:00:00
2.7,0.77,11/30/1988 00:00:00
2.8,0.76,12/01/1988 00:00:00
2.8,0.78,12/02/1988 00:00:00
3.8,0.9,12/03/1988 00:00:00
2.8,0.87,12/04/1988 00:00:00
3.3,0.78,12/05/1988 00:00:00
3.8,0.85,12/06/1988 00:00:00
3.9,0.83,12/07/1988 00:00:00
3.2,0.82,12/08/1988 00:00:00
4,0.78,12/09/1988 00:00:00
3.7,0.76,12/10/1988 00:00:00
3.5,0.82,12/11/1988 00:00:00
3,0.78,12/12/1988 00:00:00
2.3,0.79,12/13/1988 00:00:00
2.9,0.78,12/14/1988 00:00:00
3.7,0.85,12/15/1988 00:00:00
3.7,0.84,12/16/1988 00:00:00
4.5,0.85,12/17/1988 00:00:00
2.2,0.82,12/18/1988 00:00:00
2.7,0.78,12/19/1988 00:00:00
3.3,0.76,12/20/1988 00:00:00
3,0.71,12/21/1988 00:00:00
2.6,0.76,12/22/1988 00:00:00
2.3,0.71,12/23/1988 00:00:00
3.1,0.74,12/24/1988 00:00:00
3.1,0.76,12/25/1988 00:00:00
4,0.73,12/26/1988 00:00:00
2.8,0.82,12/27/1988 00:00:00
3.1,0.77,12/28/1988 00:00:00
2.9,0.74,12/29/1988 00:00:00
3,0.74,12/30/1988 00:00:00
3.3,0.77,12/31/1988 00:00:00
3.1,0.86,01/01/1989 00:00:00
3.1,0.83,01/02/1989 00:00:00
3.5,0.81,01/03/1989 00:00:00
3.7,0.76,01/04/1989 00:00:00
4.3,0.83,01/05/1989 00:00:00
4.9,0.72,01/06/1989 00:00:00
4.4,0.84,01/07/1989 00:00:00
4.9,0.7,01/08/1989 00:00:00
4,0.89,01/09/1989 00:00:00
4.5,0.91,01/10/1989 00:00:00
4.3,0.82,01/11/1989 00:00:00
4.6,0.82,01/12/1989 00:00:00
4.4,0.9,01/13/1989 00:00:00
5.2,0.78,01/14/1989 00:00:00
4.2,0.84,01/15/1989 00:00:00
4.2,0.84,01/16/1989 00:00:00
4.3,0.81,01/17/1989 00:00:00
4.6,0.82,01/18/1989 00:00:00
4.2,0.83,01/19/1989 00:00:00
4.2,0.86,01/20/1989 00:00:00
3.7,0.82,01/21/1989 00:00:00
3.8,0.81,01/22/1989 00:00:00
4.1,0.72,01/23/1989 00:00:00
4.3,0.84,01/24/1989 00:00:00
4.2,0.82,01/25/1989 00:00:00
3.4,0.86,01/26/1989 00:00:00
3,0.95,01/27/1989 00:00:00
2.3,0.9,01/28/1989 00:00:00
3.3,0.9,01/29/1989 00:00:00
3.3,0.9,01/30/1989 00:00:00
3.4,0.91,01/31/1989 00:00:00
4.2,0.76,02/01/1989 00:00:00
4.2,0.72,02/02/1989 00:00:00
4,0.71,02/03/1989 00:00:00
4.1,0.73,02/04/1989 00:00:00
4.7,0.75,02/05/1989 00:00:00
4,0.66,02/06/1989 00:00:00
3.9,0.65,02/07/1989 00:00:00
3.3,0.59,02/08/1989 00:00:00
3.3,0.68,02/09/1989 00:00:00
3,0.68,02/10/1989 00:00:00
3.8,0.69,02/11/1989 00:00:00
4.4,0.69,02/12/1989 00:00:00
4.9,0.69,02/13/1989 00:00:00
4,0.66,02/14/1989 00:00:00
4.3,0.7,02/15/1989 00:00:00
3.2,0.68,02/16/1989 00:00:00
3.2,0.68,02/17/1989 00:00:00
3.2,0.69,02/18/1989 00:00:00
4.4,0.68,02/19/1989 00:00:00
4.4,0.63,02/20/1989 00:00:00
4.3,0.62,02/21/1989 00:00:00
4,0.59,02/22/1989 00:00:00
4,0.64,02/23/1989 00:00:00
4.8,0.71,02/24/1989 00:00:00
4.9,0.76,02/25/1989 00:00:00
4.6,0.81,02/26/1989 00:00:00
4.8,0.78,02/27/1989 00:00:00
4.5,0.78,02/28/1989 00:00:00
3.8,0.79,03/01/1989 00:00:00
4.3,0.79,03/02/1989 00:00:00
3.7,0.76,03/03/1989 00:00:00
3.9,0.79,03/04/1989 00:00:00
4.9,0.75,03/05/1989 00:00:00
5.3,0.78,03/06/1989 00:00:00
4.3,0.75,03/07/1989 00:00:00
4.3,0.75,03/08/1989 00:00:00
4.9,0.7,03/09/1989 00:00:00
4.9,0.75,03/10/1989 00:00:00
4.5,0.75,03/11/1989 00:00:00
4.4,0.68,03/12/1989 00:00:00
4,0.63,03/13/1989 00:00:00
3.5,0.64,03/14/1989 00:00:00
3.2,0.57,03/15/1989 00:00:00
2.4,0.63,03/16/1989 00:00:00
2.6,0.68,03/17/1989 00:00:00
2.8,0.71,03/18/1989 00:00:00
3.1,0.72,03/19/1989 00:00:00
3,0.68,03/20/1989 00:00:00
3.8,0.7,03/21/1989 00:00:00
3.4,0.75,03/22/1989 00:00:00
4.4,0.67,03/23/1989 00:00:00
4.5,0.62,03/24/1989 00:00:00
4.5,0.67,03/25/1989 00:00:00
3.8,0.67,03/26/1989 00:00:00
4.7,0.64,03/27/1989 00:00:00
4.3,0.75,03/28/1989 00:00:00
4.1,0.69,03/29/1989 00:00:00
4.3,0.75,03/30/1989 00:00:00
4.6,0.75,03/31/1989 00:00:00
5.2,0.73,04/01/1989 00:00:00
4.3,0.62,04/02/1989 00:00:00
4.2,0.58,04/03/1989 00:00:00
3.9,0.63,04/04/1989 00:00:00
4.5,0.67,04/05/1989 00:00:00
4.8,0.7,04/06/1989 00:00:00
4.6,0.66,04/07/1989 00:00:00
5.3,0.71,04/08/1989 00:00:00
4.8,0.73,04/09/1989 00:00:00
4.6,0.75,04/10/1989 00:00:00
4.6,0.75,04/11/1989 00:00:00
4.7,0.76,04/12/1989 00:00:00
4.7,0.73,04/13/1989 00:00:00
3.9,0.73,04/14/1989 00:00:00
4.2,0.72,04/15/1989 00:00:00
4.2,0.71,04/16/1989 00:00:00
3.4,0.75,04/17/1989 00:00:00
4.1,0.7,04/18/1989 00:00:00
4.2,0.75,04/19/1989 00:00:00
4.4,0.7,04/20/1989 00:00:00
3.9,0.7,04/21/1989 00:00:00
3.7,0.7,04/22/1989 00:00:00
4.5,0.71,04/23/1989 00:00:00
3.6,0.7,04/24/1989 00:00:00
3.4,0.69,04/25/1989 00:00:00
2.8,0.72,04/26/1989 00:00:00
2.7,0.75,04/27/1989 00:00:00
3.9,0.72,04/28/1989 00:00:00
3.5,0.7,04/29/1989 00:00:00
3.9,0.67,04/30/1989 00:00:00
3.9,0.72,05/01/1989 00:00:00
4,0.66,05/02/1989 00:00:00
4.6,0.69,05/03/1989 00:00:00
4.8,0.7,05/04/1989 00:00:00
3.1,0.65,05/05/1989 00:00:00
1.7,0.73,05/06/1989 00:00:00
2.2,0.76,05/07/1989 00:00:00
2.5,0.76,05/08/1989 00:00:00
2.3,0.86,05/09/1989 00:00:00
3.6,0.76,05/10/1989 00:00:00
3.3,0.76,05/11/1989 00:00:00
2.6,0.75,05/12/1989 00:00:00
1.9,0.75,05/13/1989 00:00:00
2.8,0.7,05/14/1989 00:00:00
2.2,0.78,05/15/1989 00:00:00
2.8,0.91,05/16/1989 00:00:00
3.8,0.84,05/17/1989 00:00:00
3.1,0.86,05/18/1989 00:00:00
3.2,0.84,05/19/1989 00:00:00
2,0.84,05/20/1989 00:00:00
1.7,0.84,05/21/1989 00:00:00
2.2,0.9,05/22/1989 00:00:00
2.9,0.84,05/23/1989 00:00:00
3.2,0.79,05/24/1989 00:00:00
1.2,0.78,05/25/1989 00:00:00
1,0.76,05/26/1989 00:00:00
1.7,0.78,05/27/1989 00:00:00
2.1,0.78,05/28/1989 00:00:00
1.8,0.81,05/29/1989 00:00:00
2.5,0.78,05/30/1989 00:00:00
1.7,0.96,05/31/1989 00:00:00
2.5,0.79,06/01/1989 00:00:00
2,0.84,06/02/1989 00:00:00
2.5,0.82,06/03/1989 00:00:00
3.3,0.76,06/04/1989 00:00:00
2.8,0.84,06/05/1989 00:00:00
3.3,0.82,06/06/1989 00:00:00
3.6,0.78,06/07/1989 00:00:00
3.5,0.89,06/08/1989 00:00:00
2.2,0.9,06/09/1989 00:00:00
2.3,0.88,06/10/1989 00:00:00
2,0.94,06/11/1989 00:00:00
3.1,0.86,06/12/1989 00:00:00
2.7,0.83,06/13/1989 00:00:00
2.2,0.82,06/14/1989 00:00:00
1.9,0.84,06/15/1989 00:00:00
1.5,0.9,06/16/1989 00:00:00
1.5,0.9,06/17/1989 00:00:00
3.2,0.95,06/18/1989 00:00:00
3.2,0.9,06/19/1989 00:00:00
4.2,0.92,06/20/1989 00:00:00
4.4,0.86,06/21/1989 00:00:00
3.2,0.78,06/22/1989 00:00:00
2.2,0.84,06/23/1989 00:00:00
2.7,0.9,06/24/1989 00:00:00
1.9,0.84,06/25/1989 00:00:00
0.8,0.78,06/26/1989 00:00:00
1.5,0.82,06/27/1989 00:00:00
3.1,0.82,06/28/1989 00:00:00
3.3,0.84,06/29/1989 00:00:00
2.7,0.86,06/30/1989 00:00:00
2.5,0.91,07/01/1989 00:00:00
3.1,0.82,07/02/1989 00:00:00
2.9,0.92,07/03/1989 00:00:00
2,0.88,07/04/1989 00:00:00
2.4,0.86,07/05/1989 00:00:00
2.4,0.81,07/06/1989 00:00:00
1.9,0.84,07/07/1989 00:00:00
2,0.88,07/08/1989 00:00:00
3,0.9,07/09/1989 00:00:00
2.4,0.86,07/10/1989 00:00:00
1.8,0.79,07/11/1989 00:00:00
1.9,0.82,07/12/1989 00:00:00
2.1,0.78,07/13/1989 00:00:00
1.5,0.81,07/14/1989 00:00:00
1.1,0.76,07/15/1989 00:00:00
1.2,0.78,07/16/1989 00:00:00
0.9,0.86,07/17/1989 00:00:00
1.9,0.82,07/18/1989 00:00:00
3,0.83,07/19/1989 00:00:00
3.1,0.92,07/20/1989 00:00:00
1.7,0.86,07/21/1989 00:00:00
2.3,0.86,07/22/1989 00:00:00
3.1,0.86,07/23/1989 00:00:00
2.7,0.88,07/24/1989 00:00:00
2.3,0.81,07/25/1989 00:00:00
3.4,0.9,07/26/1989 00:00:00
3.1,0.92,07/27/1989 00:00:00
3,0.89,07/28/1989 00:00:00
4.1,0.83,07/29/1989 00:00:00
3.7,0.81,07/30/1989 00:00:00
3.5,0.78,07/31/1989 00:00:00
3.6,0.83,08/01/1989 00:00:00
3.4,0.88,08/02/1989 00:00:00
3.2,0.84,08/03/1989 00:00:00
3.4,0.82,08/04/1989 00:00:00
3,0.96,08/05/1989 00:00:00
3.4,0.82,08/06/1989 00:00:00
3.6,0.83,08/07/1989 00:00:00
3.5,0.84,08/08/1989 00:00:00
3.7,0.9,08/09/1989 00:00:00
1.8,0.92,08/10/1989 00:00:00
2.7,0.83,08/11/1989 00:00:00
3,0.89,08/12/1989 00:00:00
3.2,0.79,08/13/1989 00:00:00
3.2,0.86,08/14/1989 00:00:00
1.6,0.83,08/15/1989 00:00:00
2.3,0.9,08/16/1989 00:00:00
2.5,0.9,08/17/1989 00:00:00
2,0.91,08/18/1989 00:00:00
0.9,0.82,08/19/1989 00:00:00
2.5,0.78,08/20/1989 00:00:00
2.4,0.79,08/21/1989 00:00:00
2.6,0.84,08/22/1989 00:00:00
2.6,0.89,08/23/1989 00:00:00
1.7,0.86,08/24/1989 00:00:00
2.2,0.82,08/25/1989 00:00:00
4.1,0.82,08/26/1989 00:00:00
3.2,0.89,08/27/1989 00:00:00
2.8,0.9,08/28/1989 00:00:00
2.7,0.92,08/29/1989 00:00:00
3.4,0.84,08/30/1989 00:00:00
2.3,0.86,08/31/1989 00:00:00
2.4,0.86,09/01/1989 00:00:00
2.9,0.84,09/02/1989 00:00:00
2.5,0.94,09/03/1989 00:00:00
3.4,0.88,09/04/1989 00:00:00
3.7,0.91,09/05/1989 00:00:00
2.9,0.82,09/06/1989 00:00:00
2.4,0.84,09/07/1989 00:00:00
2.5,0.89,09/08/1989 00:00:00
2.9,0.88,09/09/1989 00:00:00
3.5,0.94,09/10/1989 00:00:00
1.6,0.86,09/11/1989 00:00:00
1.2,0.81,09/12/1989 00:00:00
0.6,0.83,09/13/1989 00:00:00
0.9,0.86,09/14/1989 00:00:00
2.7,0.92,09/15/1989 00:00:00
2.5,0.83,09/16/1989 00:00:00
2.1,0.79,09/17/1989 00:00:00
1.7,0.78,09/18/1989 00:00:00
2.5,0.84,09/19/1989 00:00:00
3,0.81,09/20/1989 00:00:00
2.3,0.78,09/21/1989 00:00:00
1.6,0.78,09/22/1989 00:00:00
1.7,0.81,09/23/1989 00:00:00
1.8,0.79,09/24/1989 00:00:00
2.2,0.78,09/25/1989 00:00:00
2.6,0.86,09/26/1989 00:00:00
2.8,0.82,09/27/1989 00:00:00
2.4,0.86,09/28/1989 00:00:00
1.4,0.84,09/29/1989 00:00:00
1.9,0.9,09/30/1989 00:00:00
1.5,0.91,10/01/1989 00:00:00
2.3,0.86,10/02/1989 00:00:00
1,0.86,10/03/1989 00:00:00
2.1,0.86,10/04/1989 00:00:00
3.1,0.88,10/05/1989 00:00:00
1.5,0.84,10/06/1989 00:00:00
1.8,0.83,10/07/1989 00:00:00
2,0.82,10/08/1989 00:00:00
1.2,0.86,10/09/1989 00:00:00
2.2,0.78,10/10/1989 00:00:00
1.6,0.84,10/11/1989 00:00:00
0.9,0.76,10/12/1989 00:00:00
1.7,0.78,10/13/1989 00:00:00
2.2,0.78,10/14/1989 00:00:00
2.5,0.78,10/15/1989 00:00:00
1.4,0.82,10/16/1989 00:00:00
0.8,0.88,10/17/1989 00:00:00
1.2,0.86,10/18/1989 00:00:00
1.6,0.83,10/19/1989 00:00:00
2,0.92,10/20/1989 00:00:00
2.7,0.91,10/21/1989 00:00:00
2.8,0.88,10/22/1989 00:00:00
2.8,0.84,10/23/1989 00:00:00
2.9,0.9,10/24/1989 00:00:00
2.2,0.86,10/25/1989 00:00:00
1.8,0.9,10/26/1989 00:00:00
1.3,0.92,10/27/1989 00:00:00
2,0.86,10/28/1989 00:00:00
2.2,0.89,10/29/1989 00:00:00
2,0.82,10/30/1989 00:00:00
3.4,0.89,10/31/1989 00:00:00
2.8,0.82,11/01/1989 00:00:00
3.2,0.78,11/02/1989 00:00:00
3.5,0.9,11/03/1989 00:00:00
3.1,0.86,11/04/1989 00:00:00
3.4,0.91,11/05/1989 00:00:00
2.8,0.91,11/06/1989 00:00:00
2.2,0.83,11/07/1989 00:00:00
2.1,0.78,11/08/1989 00:00:00
2.5,0.78,11/09/1989 00:00:00
2.7,0.78,11/10/1989 00:00:00
2.1,0.82,11/11/1989 00:00:00
2,0.82,11/12/1989 00:00:00
2.1,0.76,11/13/1989 00:00:00
2.4,0.75,11/14/1989 00:00:00
2.7,0.96,11/15/1989 00:00:00
2.9,0.88,11/16/1989 00:00:00
2.5,0.86,11/17/1989 00:00:00
3.7,0.83,11/18/1989 00:00:00
3.9,0.83,11/19/1989 00:00:00
3.5,0.9,11/20/1989 00:00:00
3.3,0.88,11/21/1989 00:00:00
3.4,0.86,11/22/1989 00:00:00
4.2,0.86,11/23/1989 00:00:00
3.1,0.84,11/24/1989 00:00:00
3.1,0.96,11/25/1989 00:00:00
2.9,0.78,11/26/1989 00:00:00
2.8,0.82,11/27/1989 00:00:00
2.9,0.84,11/28/1989 00:00:00
3.5,0.82,11/29/1989 00:00:00
4.3,0.96,11/30/1989 00:00:00
4.1,0.76,12/01/1989 00:00:00
3.6,0.78,12/02/1989 00:00:00
3.4,0.9,12/03/1989 00:00:00
3.2,0.89,12/04/1989 00:00:00
3.3,0.78,12/05/1989 00:00:00
3.5,0.86,12/06/1989 00:00:00
3,0.83,12/07/1989 00:00:00
3,0.82,12/08/1989 00:00:00
3.1,0.78,12/09/1989 00:00:00
3.3,0.76,12/10/1989 00:00:00
3.1,0.82,12/11/1989 00:00:00
2.7,0.78,12/12/1989 00:00:00
4,0.79,12/13/1989 00:00:00
2.9,0.78,12/14/1989 00:00:00
4,0.86,12/15/1989 00:00:00
3.2,0.84,12/16/1989 00:00:00
2.9,0.86,12/17/1989 00:00:00
3.2,0.82,12/18/1989 00:00:00
3.1,0.78,12/19/1989 00:00:00
4.4,0.76,12/20/1989 00:00:00
3.5,0.71,12/21/1989 00:00:00
3,0.76,12/22/1989 00:00:00
3.2,0.71,12/23/1989 00:00:00
3.8,0.72,12/24/1989 00:00:00
3.5,0.76,12/25/1989 00:00:00
3.5,0.73,12/26/1989 00:00:00
3.5,0.82,12/27/1989 00:00:00
3.8,0.96,12/28/1989 00:00:00
3.6,0.75,12/29/1989 00:00:00
4,0.72,12/30/1989 00:00:00
4,0.96,12/31/1989 00:00:00
3.5,0.76,01/01/1990 00:00:00
4.4,0.7,01/02/1990 00:00:00
4.3,0.75,01/03/1990 00:00:00
3.5,0.76,01/04/1990 00:00:00
3.6,0.73,01/05/1990 00:00:00
3.3,0.74,01/06/1990 00:00:00
4,0.72,01/07/1990 00:00:00
3.2,0.73,01/08/1990 00:00:00
3.7,0.73,01/09/1990 00:00:00
3.1,0.76,01/10/1990 00:00:00
4.4,0.7,01/11/1990 00:00:00
4.9,0.67,01/12/1990 00:00:00
4.7,0.69,01/13/1990 00:00:00
4.4,0.7,01/14/1990 00:00:00
4.9,0.67,01/15/1990 00:00:00
4.7,0.64,01/16/1990 00:00:00
5,0.7,01/17/1990 00:00:00
4,0.73,01/18/1990 00:00:00
4.5,0.71,01/19/1990 00:00:00
3.4,0.74,01/20/1990 00:00:00
4,0.71,01/21/1990 00:00:00
4,0.72,01/22/1990 00:00:00
4.2,0.7,01/23/1990 00:00:00
4,0.7,01/24/1990 00:00:00
4.8,0.74,01/25/1990 00:00:00
4.2,0.71,01/26/1990 00:00:00
4.1,0.71,01/27/1990 00:00:00
3.4,0.74,01/28/1990 00:00:00
4.3,0.68,01/29/1990 00:00:00
4.3,0.69,01/30/1990 00:00:00
4.1,0.72,01/31/1990 00:00:00
4,0.71,02/01/1990 00:00:00
3.6,0.75,02/02/1990 00:00:00
3.8,0.72,02/03/1990 00:00:00
4.7,0.66,02/04/1990 00:00:00
5,0.64,02/05/1990 00:00:00
6.5,0.6,02/06/1990 00:00:00
6.3,0.59,02/07/1990 00:00:00
6.3,0.6,02/08/1990 00:00:00
5.9,0.6,02/09/1990 00:00:00
5.6,0.64,02/10/1990 00:00:00
6,0.6,02/11/1990 00:00:00
5.6,0.63,02/12/1990 00:00:00
5.5,0.66,02/13/1990 00:00:00
4.4,0.7,02/14/1990 00:00:00
4.3,0.74,02/15/1990 00:00:00
4.3,0.74,02/16/1990 00:00:00
3.9,0.77,02/17/1990 00:00:00
3.5,0.78,02/18/1990 00:00:00
4,0.76,02/19/1990 00:00:00
3.5,0.76,02/20/1990 00:00:00
4,0.77,02/21/1990 00:00:00
4.1,0.76,02/22/1990 00:00:00
3.8,0.78,02/23/1990 00:00:00
4.1,0.76,02/24/1990 00:00:00
3.7,0.76,02/25/1990 00:00:00
4.6,0.71,02/26/1990 00:00:00
4.6,0.7,02/27/1990 00:00:00
4.3,0.76,02/28/1990 00:00:00
4.1,0.76,03/01/1990 00:00:00
4.5,0.72,03/02/1990 00:00:00
4.9,0.69,03/03/1990 00:00:00
4.3,0.71,03/04/1990 00:00:00
5.2,0.71,03/05/1990 00:00:00
5.2,0.72,03/06/1990 00:00:00
5.2,0.73,03/07/1990 00:00:00
5.3,0.69,03/08/1990 00:00:00
5.2,0.69,03/09/1990 00:00:00
5.4,0.67,03/10/1990 00:00:00
5.5,0.7,03/11/1990 00:00:00
4.6,0.72,03/12/1990 00:00:00
5.2,0.66,03/13/1990 00:00:00
6.3,0.66,03/14/1990 00:00:00
5.9,0.64,03/15/1990 00:00:00
5.5,0.68,03/16/1990 00:00:00
5.6,0.64,03/17/1990 00:00:00
5.3,0.63,03/18/1990 00:00:00
5.2,0.64,03/19/1990 00:00:00
5.6,0.66,03/20/1990 00:00:00
4.9,0.68,03/21/1990 00:00:00
4.4,0.76,03/22/1990 00:00:00
3.9,0.76,03/23/1990 00:00:00
3.1,0.78,03/24/1990 00:00:00
3.9,0.76,03/25/1990 00:00:00
4.8,0.7,03/26/1990 00:00:00
4.8,0.75,03/27/1990 00:00:00
5.3,0.69,03/28/1990 00:00:00
4.6,0.72,03/29/1990 00:00:00
4.9,0.72,03/30/1990 00:00:00
4.4,0.74,03/31/1990 00:00:00
4.6,0.71,04/01/1990 00:00:00
4.6,0.75,04/02/1990 00:00:00
4.2,0.74,04/03/1990 00:00:00
4.4,0.76,04/04/1990 00:00:00
6.1,0.61,04/05/1990 00:00:00
6.2,0.58,04/06/1990 00:00:00
6.5,0.57,04/07/1990 00:00:00
5,0.71,04/08/1990 00:00:00
7,0.63,04/09/1990 00:00:00
4.8,0.73,04/10/1990 00:00:00
2.8,0.75,04/11/1990 00:00:00
4.5,0.72,04/12/1990 00:00:00
4.3,0.73,04/13/1990 00:00:00
4.5,0.77,04/14/1990 00:00:00
2.9,0.73,04/15/1990 00:00:00
5.1,0.69,04/16/1990 00:00:00
5.1,0.72,04/17/1990 00:00:00
5.4,0.69,04/18/1990 00:00:00
3,0.71,04/19/1990 00:00:00
4.2,0.76,04/20/1990 00:00:00
5.5,0.72,04/21/1990 00:00:00
6.3,0.7,04/22/1990 00:00:00
5.1,0.69,04/23/1990 00:00:00
3.8,0.75,04/24/1990 00:00:00
5,0.74,04/25/1990 00:00:00
5.5,0.68,04/26/1990 00:00:00
4.1,0.66,04/27/1990 00:00:00
5.8,0.61,04/28/1990 00:00:00
5.2,0.64,04/29/1990 00:00:00
5.3,0.63,04/30/1990 00:00:00
5,0.64,05/01/1990 00:00:00
5.2,0.7,05/02/1990 00:00:00
4.5,0.75,05/03/1990 00:00:00
3.7,0.75,05/04/1990 00:00:00
4.4,0.73,05/05/1990 00:00:00
4.6,0.7,05/06/1990 00:00:00
6,0.72,05/07/1990 00:00:00
2.8,0.72,05/08/1990 00:00:00
3.7,0.75,05/09/1990 00:00:00
3.9,0.75,05/10/1990 00:00:00
4,0.72,05/11/1990 00:00:00
4.3,0.74,05/12/1990 00:00:00
4.1,0.72,05/13/1990 00:00:00
3.6,0.74,05/14/1990 00:00:00
4.1,0.72,05/15/1990 00:00:00
5.3,0.66,05/16/1990 00:00:00
4.4,0.69,05/17/1990 00:00:00
5,0.71,05/18/1990 00:00:00
4.2,0.72,05/19/1990 00:00:00
2.8,0.83,05/20/1990 00:00:00
2.7,0.76,05/21/1990 00:00:00
2.5,0.81,05/22/1990 00:00:00
1.2,0.9,05/23/1990 00:00:00
3.1,0.78,05/24/1990 00:00:00
2.3,0.9,05/25/1990 00:00:00
1.4,0.92,05/26/1990 00:00:00
1.9,0.86,05/27/1990 00:00:00
2.8,0.8,05/28/1990 00:00:00
2.4,0.8,05/29/1990 00:00:00
2.4,0.83,05/30/1990 00:00:00
4.1,0.75,05/31/1990 00:00:00
4,0.75,06/01/1990 00:00:00
2.2,0.81,06/02/1990 00:00:00
2.5,0.8,06/03/1990 00:00:00
2.1,0.86,06/04/1990 00:00:00
2.2,0.82,06/05/1990 00:00:00
2,0.86,06/06/1990 00:00:00
2.2,0.83,06/07/1990 00:00:00
3.8,0.77,06/08/1990 00:00:00
2.7,0.85,06/09/1990 00:00:00
2.6,0.87,06/10/1990 00:00:00
2.6,0.81,06/11/1990 00:00:00
2.7,0.86,06/12/1990 00:00:00
2.7,0.84,06/13/1990 00:00:00
4.9,0.76,06/14/1990 00:00:00
1.8,0.88,06/15/1990 00:00:00
1.9,0.88,06/16/1990 00:00:00
2.3,0.82,06/17/1990 00:00:00
3.3,0.8,06/18/1990 00:00:00
4.5,0.76,06/19/1990 00:00:00
1.5,0.9,06/20/1990 00:00:00
1,0.94,06/21/1990 00:00:00
0.6,0.96,06/22/1990 00:00:00
2.7,0.86,06/23/1990 00:00:00
3.2,0.8,06/24/1990 00:00:00
1.7,0.87,06/25/1990 00:00:00
2.4,0.84,06/26/1990 00:00:00
1.9,0.89,06/27/1990 00:00:00
2,0.86,06/28/1990 00:00:00
3,0.78,06/29/1990 00:00:00
3.6,0.78,06/30/1990 00:00:00
3.8,0.78,07/01/1990 00:00:00
4.5,0.76,07/02/1990 00:00:00
4.2,0.77,07/03/1990 00:00:00
3.8,0.76,07/04/1990 00:00:00
2.4,0.87,07/05/1990 00:00:00
3.1,0.81,07/06/1990 00:00:00
3.2,0.81,07/07/1990 00:00:00
3.7,0.8,07/08/1990 00:00:00
3.7,0.8,07/09/1990 00:00:00
3.9,0.75,07/10/1990 00:00:00
2.4,0.82,07/11/1990 00:00:00
2.8,0.79,07/12/1990 00:00:00
2.3,0.85,07/13/1990 00:00:00
2.1,0.92,07/14/1990 00:00:00
3.4,0.76,07/15/1990 00:00:00
3.7,0.76,07/16/1990 00:00:00
2.6,0.82,07/17/1990 00:00:00
3.2,0.8,07/18/1990 00:00:00
2.1,0.9,07/19/1990 00:00:00
1.2,0.92,07/20/1990 00:00:00
1.7,0.93,07/21/1990 00:00:00
2.5,0.84,07/22/1990 00:00:00
2.6,0.84,07/23/1990 00:00:00
2.1,0.82,07/24/1990 00:00:00
3.3,0.79,07/25/1990 00:00:00
3.4,0.8,07/26/1990 00:00:00
2.6,0.8,07/27/1990 00:00:00
2.3,0.85,07/28/1990 00:00:00
2.4,0.83,07/29/1990 00:00:00
2.1,0.87,07/30/1990 00:00:00
1.6,0.88,07/31/1990 00:00:00
1.8,0.89,08/01/1990 00:00:00
2.8,0.79,08/02/1990 00:00:00
2.5,0.84,08/03/1990 00:00:00
1.6,0.86,08/04/1990 00:00:00
1.2,0.93,08/05/1990 00:00:00
1.5,0.86,08/06/1990 00:00:00
2.3,0.82,08/07/1990 00:00:00
2,0.81,08/08/1990 00:00:00
1.5,0.9,08/09/1990 00:00:00
2.3,0.82,08/10/1990 00:00:00
3.4,0.81,08/11/1990 00:00:00
2.1,0.82,08/12/1990 00:00:00
1.5,0.92,08/13/1990 00:00:00
2.4,0.85,08/14/1990 00:00:00
1.3,0.9,08/15/1990 00:00:00
0.8,0.96,08/16/1990 00:00:00
1.3,0.89,08/17/1990 00:00:00
2.7,0.8,08/18/1990 00:00:00
1.7,0.9,08/19/1990 00:00:00
1.4,0.89,08/20/1990 00:00:00
3,0.81,08/21/1990 00:00:00
3.4,0.82,08/22/1990 00:00:00
3.8,0.78,08/23/1990 00:00:00
3.3,0.83,08/24/1990 00:00:00
4.2,0.78,08/25/1990 00:00:00
5.3,0.76,08/26/1990 00:00:00
2.5,0.87,08/27/1990 00:00:00
3,0.87,08/28/1990 00:00:00
4,0.82,08/29/1990 00:00:00
2.8,0.82,08/30/1990 00:00:00
2.3,0.84,08/31/1990 00:00:00
3.5,0.8,09/01/1990 00:00:00
2.9,0.84,09/02/1990 00:00:00
0.4,0.95,09/03/1990 00:00:00
1.2,0.91,09/04/1990 00:00:00
2.9,0.81,09/05/1990 00:00:00
3.1,0.82,09/06/1990 00:00:00
3.7,0.8,09/07/1990 00:00:00
3.9,0.78,09/08/1990 00:00:00
2.8,0.82,09/09/1990 00:00:00
2.1,0.84,09/10/1990 00:00:00
2.5,0.79,09/11/1990 00:00:00
3.2,0.8,09/12/1990 00:00:00
3.4,0.79,09/13/1990 00:00:00
3.9,0.75,09/14/1990 00:00:00
2.3,0.87,09/15/1990 00:00:00
2.6,0.84,09/16/1990 00:00:00
2.1,0.88,09/17/1990 00:00:00
2.5,0.82,09/18/1990 00:00:00
3.2,0.82,09/19/1990 00:00:00
